Name,Type
BANGALORE BGS INSTITUTE OF TECHNOLOGY,ENGINEERING
ACHARYA INSTITUTE OF TECHNOLOGY,ENGINEERING
HKBK COLLEGE OF ENGINEERING,ENGINEERING
PRESIDENCY COLLEGE OF ENGINEERING,ENGINEERING
SAI VIDYA INSTITUTE OF TECHNOLOGY,ENGINEERING
"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELAGAVI",ENGINEERING
GSSS INSTITUTE OF ENGINEERING & TECHNOLOGY,ENGINEERING
VIDYAVARDHAKA COLLEGE OF ENGINEERING,ENGINEERING
VIDYA VIKAS INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
"JSS SCIENCE AND TECHNOLOGY UNIVERSITY, MYSORE",ENGINEERING
GOVERNMENT ENGINEERING COLLEGE KUSHALNAGAR,ENGINEERING
MANGALORE MARINE COLLEGE AND,ENGINEERING
NIT TRICHY,ENGINEERING
NAGARJUNA COLLEGE OF ENGINNERING AND TECHNOLOGY,ENGINEERING
"STJ INSTITUTE OF TECHNOLOGY, RANEBENNUR",ENGINEERING
SAMPOORNA INSTITUTE OF TECHNOLOGY,ENGINEERING
SAPTHAGIRI COLLEGE OF ENGINEERING,ENGINEERING
SHA SHIB COLLEGE OF ENGINEERING,ENGINEERING
SHEIKH COLLEGE OF ENGINEERING,ENGINEERING
SHETTY INSTITUTE OF TECHNOLOGY,ENGINEERING
SRI SAI RAM COLLEGE OF ENGINEERING,ENGINEERING
SRI VENKATESHWARA COLLEGE OF ENGINEERING,ENGINEERING
"JAIN COLLEGE OF ENGINEERING AND TECHNOLOGY, HUBBALLI",ENGINEERING
MVJ COLLEGE OF ENGINEERING,ENGINEERING
"MANIPAL INSTITUTE OF TECHNOLOGY, YELAHANKA",ENGINEERING
M S RAMIAH INSTITUTE OF TECHNOLOGY,ENGINEERING
UVCE,ENGINEERING
BNM INSTITUTE OF TECHNOLOGY,ENGINEERING
DR. AMBEDKAR INSTITUTE OF TECHNOLOGY,ENGINEERING
R. V. COLLEGE OF ENGINEERING,ENGINEERING
AMC ENGINEERING COLLEGE,ENGINEERING
PES UNIVERSITY ELECTRONIC CITY CAMPUS,ENGINEERING
THE OXFORD COLLEGE OF ENGINEERING,ENGINEERING
SIDDAGANGA INSTITUTE OF TECHNOLOGY,ENGINEERING
H M S INSTITUTE OF TECHNOLOGY,ENGINEERING
JNN COLLEGE OF ENGINEERING,ENGINEERING
GM INSTITUTE OF TECHNOLOGY,ENGINEERING
UNIVERSITY BDT COLLEGE OF ENGINEERING (UBDT),ENGINEERING
BAPUJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
KLE INSTITUTE OF TECHNOLOGY,ENGINEERING
AGM ENGINEERING COLLEGE,ENGINEERING
"IIT, DHARWAD",ENGINEERING
"IIIT, DHARWAD",ENGINEERING
"SDM COLLEGE OF ENGINEERING, DHARWAD",ENGINEERING
"TKM COLLEGE OF ENGINEERING, KOLLAM",ENGINEERING
"CUSAT, KOCHI",ENGINEERING
"GOVERNMENT ENGINEERING COLLEGE, THRISSUR",ENGINEERING
"RAJAGIRI COLLEGE OF ENGINEERING, KOCHI",ENGINEERING
"RAJAGIRI COLLEGE OF ENGINEERING, KOCHI",ENGINEERING
COLLEGE OF ENGINEERING THALASSERY,ENGINEERING
"VIMAL JYOTHI ENGINEERING COLLEGE, CHEMBERI",ENGINEERING
ADICHUNCHANAGIRI INSTITUTE OF TECHNOLOGY,ENGINEERING
RAJEEV INSTITUTE OF TECHNOLOGY,ENGINEERING
NITTE GULABI SHETTY MEMORIAL INSTITUTE OF PHARMACEUTICAL SCIENCES,NON_ENGINEERING
NITTE USHA INSTITUTE OF NURSING SCIENCES,NON_ENGINEERING
K.S. HEGDE MEDICAL ACADEMY,NON_ENGINEERING
AB SHETTY MEMORIAL INSTITUTE OF DENTAL SCIENCES,NON_ENGINEERING
NITTE INSTITUTE OF ARCHITECTURE,NON_ENGINEERING
NITTE INSTITUTE OF COMMUNICATION,NON_ENGINEERING
NITTE UNIVERSITY CENTRE FOR SCIENCE EDUCATION AND RESEARCH,NON_ENGINEERING
NITTE INSTITUTE OF HOSPITALITY SERVICES,NON_ENGINEERING
"NRAM AIDED POLYTECHNIC, NITTE",NON_ENGINEERING
"Dr. NSAM FIRST GRADE COLLEGE, NITTE, KARKALA",NON_ENGINEERING
"JUSTICE K S HEGDE INSTITUTE OF MANAGEMENT, NITTE",NON_ENGINEERING
"NITTE INSTITUTE OF PHYSIOTHERAPY, MANGALORE",NON_ENGINEERING
"Dr. NSAM FIRST GRADE COLLEGE, BANGALORE",NON_ENGINEERING
"NITTE INSTITUTE OF PROFESSIONAL EDUCATION COLLEGE, MANGALURU",NON_ENGINEERING
"NAVKIS COLLEGE OF ENGINEERING, HASSAN",NON_ENGINEERING
"NIT, JALANDHAR",NON_ENGINEERING
FR. CONCEICAO RODRIGUES COLLEGE OF ENGINEERING,NON_ENGINEERING
VELLORE INSTITUTE OF TECHNOLOGY,ENGINEERING
"BITS PILANI, HYDERABAD",ENGINEERING
BANGALORE INSTITUTE OF TECHNOLOGY,ENGINEERING
"JSS ACADEMY OF TECHNICAL EDUCATION, BENGALURU",ENGINEERING
SSMRV,ENGINEERING
KARLSRUHE INSTITUTE OF TECHNOLOGY,ENGINEERING
UNIVERSITY OF WOLLONGONG,ENGINEERING
